id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,mcc_type,fraud
7476120,2010-01-01 08:23:00,13,2941,$6.95,Swipe Transaction,98374,Harned,KY,40144.0,5411,,"Grocery Stores, Supermarkets",0.0
7476683,2010-01-01 10:33:00,13,4270,$8.76,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),0.0
7476881,2010-01-01 11:16:00,13,2941,$6.53,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),
7479752,2010-01-02 06:40:00,13,2941,$28.14,Swipe Transaction,86410,Louisville,KY,40241.0,5211,,Lumber and Building Materials,0.0
7480386,2010-01-02 09:39:00,13,4270,$12.37,Swipe Transaction,60569,Louisville,KY,40210.0,5300,,Wholesale Clubs,0.0
7480803,2010-01-02 11:23:00,13,2941,$7.32,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),0.0
7485623,2010-01-03 14:49:00,13,2941,$219.40,Online Transaction,32480,ONLINE,,,4899,,"Cable, Satellite, and Other Pay Television Services",0.0
7486540,2010-01-03 19:37:00,13,2109,$95.86,Swipe Transaction,18854,Fort Knox,KY,40121.0,4900,,"Utilities - Electric, Gas, Water, Sanitary",
7492534,2010-01-05 11:17:00,13,2941,$5.12,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),
7496564,2010-01-06 11:13:00,13,2109,$8.61,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),0.0
7499430,2010-01-07 07:04:00,13,2941,$71.74,Swipe Transaction,98374,Harned,KY,40144.0,5411,,"Grocery Stores, Supermarkets",0.0
7500651,2010-01-07 11:37:00,13,4270,$11.01,Swipe Transaction,31868,Fort Knox,KY,40121.0,5912,,Drug Stores and Pharmacies,
7503347,2010-01-08 07:15:00,13,2941,$82.04,Swipe Transaction,22204,Guston,KY,40142.0,5541,,Service Stations,0.0
7504291,2010-01-08 11:28:00,13,4270,$8.66,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),0.0
7506156,2010-01-08 20:18:00,13,2941,$76.78,Swipe Transaction,18854,Fort Knox,KY,40121.0,4900,,"Utilities - Electric, Gas, Water, Sanitary",0.0
7506961,2010-01-09 06:57:00,13,2941,$24.98,Swipe Transaction,85384,Fort Knox,KY,40121.0,5300,,Wholesale Clubs,0.0
7508021,2010-01-09 11:25:00,13,2941,$5.67,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),
7508937,2010-01-09 15:06:00,13,2109,$169.13,Online Transaction,96529,ONLINE,,,4899,,"Cable, Satellite, and Other Pay Television Services",0.0
7511867,2010-01-10 11:05:00,13,2941,$8.76,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),
7513404,2010-01-10 16:36:00,13,2109,$10.40,Swipe Transaction,85384,Fort Knox,KY,40121.0,5300,,Wholesale Clubs,0.0
7515931,2010-01-11 11:16:00,13,4270,$9.04,Swipe Transaction,3835,Boston,KY,40107.0,5813,,Drinking Places (Alcoholic Beverages),0.0
7516242,2010-01-11 12:23:00,13,2941,$494.00,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,,Railroad Passenger Transport,0.0
7517512,2010-01-11 17:13:00,13,2941,$12.83,Swipe Transaction,81833,Brandenburg,KY,40108.0,5912,,Drug Stores and Pharmacies,
7519144,2010-01-12 08:26:00,13,4270,$6.17,Swipe Transaction,35147,Boston,KY,40107.0,5812,,Eating Places and Restaurants,
7519747,2010-01-12 10:40:00,13,2941,$3.81,Swipe Transaction,3835,Boston,KY,40107.0,5813,,Drinking Places (Alcoholic Beverages),
7519963,2010-01-12 11:24:00,13,2941,$609.03,Swipe Transaction,5594,Glasgow,KY,42141.0,3001,,Steel Products Manufacturing,0.0
7521500,2010-01-12 17:10:00,13,2941,$-494.00,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,,Railroad Passenger Transport,
7521541,2010-01-12 17:26:00,13,2941,$183.92,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,,Railroad Passenger Transport,
7525201,2010-01-13 16:02:00,13,4270,$67.00,Swipe Transaction,22204,Guston,KY,40142.0,5541,,Service Stations,
7525208,2010-01-13 16:03:00,13,4270,$-67.00,Swipe Transaction,22204,Guston,KY,40142.0,5541,,Service Stations,0.0
7525224,2010-01-13 16:07:00,13,4270,$28.26,Swipe Transaction,22204,Guston,KY,40142.0,5541,,Service Stations,
7525348,2010-01-13 16:31:00,13,2941,$36.80,Online Transaction,9932,ONLINE,,,5311,,Department Stores,0.0
7526794,2010-01-14 07:21:00,13,2941,$70.45,Swipe Transaction,48919,Louisville,KY,40205.0,5311,,Department Stores,
7527406,2010-01-14 09:37:00,13,2109,$40.71,Swipe Transaction,24823,Harned,KY,40144.0,7538,,Automotive Service Shops,0.0
7528962,2010-01-14 15:21:00,13,2109,$56.21,Online Transaction,17976,ONLINE,,,4900,,"Utilities - Electric, Gas, Water, Sanitary",0.0
7529399,2010-01-14 17:07:00,13,2941,$10.64,Swipe Transaction,90865,Louisville,KY,40207.0,5311,,Department Stores,
7529759,2010-01-14 19:42:00,13,4270,$25.43,Swipe Transaction,19756,Hudson,KY,40145.0,7832,,Motion Picture Theaters,0.0
7532462,2010-01-15 15:15:00,13,2941,$68.75,Online Transaction,81759,ONLINE,,,7349,,Cleaning and Maintenance Services,0.0
7533258,2010-01-15 19:41:00,13,2941,$183.84,Online Transaction,73186,ONLINE,,,4814,,Telecommunication Services,0.0
7534907,2010-01-16 10:30:00,13,2941,$7.14,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),0.0
7535120,2010-01-16 11:18:00,13,2109,$5.74,Swipe Transaction,92542,Fort Knox,KY,40121.0,5813,,Drinking Places (Alcoholic Beverages),0.0
