feature,mean_abs_shap
zip_prefix,1.3503039
merchant_city,0.95508826
mcc,0.65656155
transaction_hour,0.55684257
amount,0.47816548
merchant_state,0.39181927
months_to_expiry,0.2523957
merchant_id,0.18409598
expires_last_day,0.16539636
transaction_dayofweek,0.12489537
num_credit_cards,0.088343255
per_capita_income,0.07253542
credit_limit,0.056670614
longitude,0.045630135
use_chip,0.04263959
total_debt,0.030184438
transaction_age,0.029930314
card_type,0.027431661
address,0.026297493
has_chip,0.023957612
yearly_income,0.021142542
client_id,0.021010494
years_to_retirement,0.020474918
credit_score,0.019227115
latitude,0.017988268
errors,0.012019179
year_pin_last_changed,0.009191668
card_brand,0.003795689
num_cards_issued,0.0019796677
gender,0.00049565115
account_age_days,0.0
