feature,importance
zip_prefix,0.24456281442973782
mcc_type,0.1767241318139438
merchant_region,0.12272398874309152
amount,0.09564979549861184
use_chip,0.0640892818269949
hour,0.031115517036412913
months_to_expiry,0.028984749413579487
credit_limit,0.02043511178544835
account_age_days,0.020348450861342193
per_capita_income,0.01870454427876127
yearly_income,0.017338495618646747
longitude,0.016899121985048022
address,0.015893143918978923
credit_score,0.01539569763386964
latitude,0.015360680908867226
total_debt,0.014868957350272702
years_to_retirement,0.01480300780093809
transaction_age,0.014056459377371076
dayofweek,0.010856731247507375
year_pin_last_changed,0.010616744535001391
num_credit_cards,0.00878329126775692
card_type,0.00646926329573424
card_brand,0.004080477416184849
errors,0.003803135460441176
num_cards_issued,0.0029572713140109627
gender,0.002240462667513923
has_chip,0.002238672513932638
