feature,mean_abs_shap
zip_prefix,1.4145681
merchant_region,1.0729729
mcc_type,0.60744417
hour,0.56180114
amount,0.45601493
months_to_expiry,0.17871526
dayofweek,0.15580371
num_credit_cards,0.11459408
per_capita_income,0.07191667
use_chip,0.06833737
longitude,0.064478576
account_age_days,0.061764468
credit_limit,0.057441227
card_type,0.050225347
total_debt,0.032245632
address,0.031978153
latitude,0.03051946
yearly_income,0.02533887
has_chip,0.021558614
credit_score,0.021048598
year_pin_last_changed,0.01896504
transaction_age,0.018685505
years_to_retirement,0.014750533
errors,0.014562351
num_cards_issued,0.0044564903
card_brand,0.0029009865
gender,0.0022466655
