id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,mcc_type,fraud
7477749,2010-01-01 14:10:00,32,1087,$635.56,Swipe Transaction,7257,Hunker,PA,15639.0,3260,,Pottery and Ceramics,
7478280,2010-01-01 16:26:00,32,3850,$26.21,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,
7481683,2010-01-02 14:52:00,32,5382,$2.41,Swipe Transaction,61195,Greensburg,PA,15601.0,5541,,Service Stations,0.0
7492009,2010-01-05 09:25:00,32,5382,$31.54,Swipe Transaction,78137,Greensburg,PA,15601.0,7538,,Automotive Service Shops,0.0
7493907,2010-01-05 16:15:00,32,3850,$23.33,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,0.0
7497997,2010-01-06 16:24:00,32,1087,$28.48,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,0.0
7498681,2010-01-06 21:00:00,32,5382,$43.24,Swipe Transaction,20561,Greensburg,PA,15601.0,5912,,Drug Stores and Pharmacies,0.0
7499361,2010-01-07 06:47:00,32,1087,$7.87,Swipe Transaction,12156,Greensburg,PA,15601.0,5921,,"Package Stores, Beer, Wine, Liquor",
7499579,2010-01-07 07:38:00,32,1087,$56.40,Swipe Transaction,59935,Greensburg,PA,15601.0,5499,Bad PIN,Miscellaneous Food Stores,0.0
7499610,2010-01-07 07:43:00,32,1087,$56.40,Swipe Transaction,59935,Greensburg,PA,15601.0,5499,,Miscellaneous Food Stores,0.0
7499609,2010-01-07 07:43:00,32,1087,$-95.00,Swipe Transaction,59935,Greensburg,PA,15601.0,5499,,Miscellaneous Food Stores,0.0
7499614,2010-01-07 07:44:00,32,1087,$95.00,Swipe Transaction,59935,Greensburg,PA,15601.0,5499,,Miscellaneous Food Stores,0.0
7499621,2010-01-07 07:45:00,32,1087,$-81.00,Swipe Transaction,59935,Greensburg,PA,15601.0,5499,,Miscellaneous Food Stores,0.0
7499645,2010-01-07 07:49:00,32,1087,$81.00,Swipe Transaction,59935,Greensburg,PA,15601.0,5499,,Miscellaneous Food Stores,
7501858,2010-01-07 16:03:00,32,1087,$21.00,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,0.0
7505533,2010-01-08 16:27:00,32,1087,$27.31,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,0.0
7507489,2010-01-09 09:17:00,32,1087,$44.74,Swipe Transaction,71667,Greensburg,PA,15601.0,7538,,Automotive Service Shops,
7509185,2010-01-09 16:07:00,32,1087,$13.38,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,0.0
7510696,2010-01-10 06:57:00,32,3850,$29.62,Swipe Transaction,48618,Greensburg,PA,15601.0,5251,,Hardware Stores,
7511418,2010-01-10 09:28:00,32,5382,$34.06,Swipe Transaction,78137,Greensburg,PA,15601.0,7538,,Automotive Service Shops,0.0
7513242,2010-01-10 16:00:00,32,1087,$21.22,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,
7516710,2010-01-11 14:03:00,32,3850,$91.60,Online Transaction,73186,ONLINE,,,4814,,Telecommunication Services,0.0
7516814,2010-01-11 14:29:00,32,3850,$117.59,Swipe Transaction,90061,Greensburg,PA,15601.0,5912,,Drug Stores and Pharmacies,0.0
7517300,2010-01-11 16:19:00,32,5382,$28.56,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,0.0
7520771,2010-01-12 14:16:00,32,3850,$79.98,Swipe Transaction,7111,Greensburg,PA,15601.0,5411,,"Grocery Stores, Supermarkets",0.0
7521248,2010-01-12 16:12:00,32,3850,$21.63,Online Transaction,39021,ONLINE,,,4784,,Tolls and Bridge Fees,
7522038,2010-01-12 21:23:00,32,3850,$14.48,Swipe Transaction,60569,Johnsonburg,PA,15845.0,5300,,Wholesale Clubs,0.0
